timestamp,ISODate,IdBundesland,Bundesland,Impfungenkumulativ,DifferenzzumVortag,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn
1609804800,2021-01-05,11,Berlin,19389,1631,11608,6783,105,12575
1609804800,2021-01-05,12,Brandenburg,3334,25,227,3087,20,224
1609804800,2021-01-05,13,Mecklenburg-Vorpommern,13832,1773,242,7738,29,5968
1609804800,2021-01-05,14,Sachsen,7740,2874,662,6354,1,1385
1609804800,2021-01-05,15,Sachsen-Anhalt,15628,2262,4967,7523,649,7804
1609804800,2021-01-05,16,Thüringen,2715,493,446,1976,1,413
1609891200,2021-01-06,0,Gesamt,367331,45233,84867,176125,12268,150098
1609891200,2021-01-06,1,Schleswig-Holstein,17016,3444,4092,8459,2932,6665
1609891200,2021-01-06,2,Hamburg,5901,1145,1996,3495,44,2122
1609891200,2021-01-06,3,Niedersachsen,15164,6499,3341,7376,3112,8940
1609891200,2021-01-06,4,Bremen,3195,518,982,1062,29,892
1609891200,2021-01-06,5,Nordrhein-Westfalen,69225,4160,0,28846,0,40387
1609891200,2021-01-06,6,Hessen,41298,3503,11393,23963,1657,15925
1609891200,2021-01-06,7,Rheinland-Pfalz,12336,2445,0,7191,0,5145
1609891200,2021-01-06,8,Baden-Württemberg,37840,5621,18907,11336,2023,6476
1609891200,2021-01-06,9,Bayern,82749,4873,18957,40959,1573,28182
1609891200,2021-01-06,10,Saarland,5633,797,4279,672,0,2156
1609891200,2021-01-06,11,Berlin,21955,2566,13487,7648,105,14247
1609891200,2021-01-06,12,Brandenburg,5404,2070,287,5097,20,224
1609891200,2021-01-06,13,Mecklenburg-Vorpommern,18014,2570,456,10024,27,7828
1609891200,2021-01-06,14,Sachsen,10767,3027,820,8945,1,1821
1609891200,2021-01-06,15,Sachsen-Anhalt,17123,1495,5402,8196,738,8588
1609891200,2021-01-06,16,Thüringen,3711,500,468,2856,7,500
1609977600,2021-01-07,0,Gesamt,417060,46332,94997,201540,14732,168564
1609977600,2021-01-07,1,Schleswig-Holstein,20078,3062,4842,9282,3234,7768
1609977600,2021-01-07,2,Hamburg,7079,1178,2415,3561,86,2271
1609977600,2021-01-07,3,Niedersachsen,22608,7444,5209,10900,4698,13321
1609977600,2021-01-07,4,Bremen,3825,630,1018,1397,31,1182
1609977600,2021-01-07,5,Nordrhein-Westfalen,79578,8851,0,33961,0,45625
1609977600,2021-01-07,6,Hessen,44122,2824,11916,25931,1853,16780
1609977600,2021-01-07,7,Rheinland-Pfalz,15984,3648,0,9796,0,6188
1609977600,2021-01-07,8,Baden-Württemberg,42899,4971,22030,12661,2303,7340
1609977600,2021-01-07,9,Bayern,84349,1600,19266,41737,1595,28908
1609977600,2021-01-07,10,Saarland,6511,878,4940,813,0,2430
